Character	Pinyin	Tone	Meaning	Story
邁	Mai	4	to stride	to stride commands "Mai!" yells!
岡	Gang	1	Ridge of a Hill	Ridge of a Hill sings "Gang!" cheerfully!
剛	Gang	1	just now	just now sings "Gang!" cheerfully!
缺	Que	1	deficient	deficient sings "Que!" cheerfully!
寶	Bao	3	Treasure	Treasure bends down drooping saying "Bao"!
遙	Yao	2	remote	remote questions "Yao? Why?" curiously!
搖	Yao	2	to shake	to shake questions "Yao? Why?" curiously!
兔	Tu	4	Rabbit	Rabbit commands "Tu!" yells!
逸	Yi	4	to flee	to flee commands "Yi!" yells!
免	Mian	3	to avoid	to avoid bends down drooping saying "Mian"!
晚	Wan	3	Nightfall	Nightfall bends down drooping saying "Wan"!
象	Xiang	4	Elephant	Elephant commands "Xiang!" yells!
像	Xiang	4	Likeness	Likeness commands "Xiang!" yells!
馬	Ma	3	Horse	Horse bends down drooping saying "Ma"!
媽	Ma	1	Mama	Mama sings "Ma!" cheerfully!
罵	Ma	4	to scold	to scold commands "Ma!" yells!
嗎	Ma	5	yes or no	yes or no says "Ma" neutrally!
驗	Yan	4	to check	to check commands "Yan!" yells!
騎	Qi	2	to ride	to ride questions "Qi? Why?" curiously!
驚	Jing	1	startled	startled sings "Jing!" cheerfully!
虎	Hu	3	Tiger	Tiger bends down drooping saying "Hu"!
慮	Lu	4	to ponder	to ponder commands "Lu!" yells!
處	Chu	4	Location	Location commands "Chu!" yells!
戲	Xi	4	to frolic	to frolic commands "Xi!" yells!
劇	Ju	4	Drama	Drama commands "Ju!" yells!
據	Ju	4	Certificate	Certificate commands "Ju!" yells!
鹿	Lu	4	Deer	Deer commands "Lu!" yells!
塵	Chen	2	Dust	Dust questions "Chen? Why?" curiously!
麗	Li	4	lovely	lovely commands "Li!" yells!
熊	Xiong	2	Bear	Bear questions "Xiong? Why?" curiously!
能	Neng	2	Ability	Ability questions "Neng? Why?" curiously!
態	Tai	4	Attitude	Attitude commands "Tai!" yells!
寅	Yin	2	Sign Of The Tiger	Sign Of The Tiger questions "Yin? Why?" curiously!
演	Yan	3	to perform	to perform bends down drooping saying "Yan"!
辰	Chen	2	Sign Of The Dragon	Sign Of The Dragon questions "Chen? Why?" curiously!
晨	Chen	2	Morning	Morning questions "Chen? Why?" curiously!
農	Nong	2	Agriculture	Agriculture questions "Nong? Why?" curiously!
濃	Nong	2	concentrated	concentrated questions "Nong? Why?" curiously!
送	Song	4	to deliver	to deliver commands "Song!" yells!
鬼	Gui	3	Ghost	Ghost bends down drooping saying "Gui"!
魔	Mo	2	Demon	Demon questions "Mo? Why?" curiously!
塊	Kuai	4	Lump	Lump commands "Kuai!" yells!
龍	Long	2	Dragon	Dragon questions "Long? Why?" curiously!
襲	Xi	2	to raid	to raid questions "Xi? Why?" curiously!
兒	Er	2	Youngster	Youngster questions "Er? Why?" curiously!
舊	Jiu	4	old	old commands "Jiu!" yells!
寫	Xie	3	to write	to write bends down drooping saying "Xie"!
瀉	Xie	4	Diarrhea	Diarrhea commands "Xie!" yells!
兩	Liang	3	dos	dos bends down drooping saying "Liang"!
倆	Lia	3	Duo	Duo bends down drooping saying "Lia"!
滿	Man	3	full	full bends down drooping saying "Man"!
爾	Er	3	you  [literary]	you  [literary] bends down drooping saying "Er"!
彌	Mi	2	to fill	to fill questions "Mi? Why?" curiously!
虛	Xu	1	false	false sings "Xu!" cheerfully!
聯	Lian	2	to unite	to unite questions "Lian? Why?" curiously!
關	Guan	1	to shut	to shut sings "Guan!" cheerfully!
那	Na	4	that	that commands "Na!" yells!
哪	Na	3	which?	which? bends down drooping saying "Na"!
巫	Wu [普], wu [國]	1	Witch	Witch sings "Wu [普], wu [國]!" cheerfully!
靈	Ling	2	Spirit	Spirit questions "Ling? Why?" curiously!
縣	Xian	4	County	County commands "Xian!" yells!
懸	Xuan	2	to suspend	to suspend questions "Xuan? Why?" curiously!
與	Yu	3	to offer	to offer bends down drooping saying "Yu"!
舉	Ju	3	to lift up	to lift up bends down drooping saying "Ju"!
腦	Nao	3	Brain	Brain bends down drooping saying "Nao"!
惱	Nao	3	Annoyed	Annoyed bends down drooping saying "Nao"!
專	Zhuan	1	Specialty	Specialty sings "Zhuan!" cheerfully!
傳	Chuan	2	to spread	to spread questions "Chuan? Why?" curiously!
轉	Zhuan	4	to rotate	to rotate commands "Zhuan!" yells!
團	Tuan	2	Troupe	Troupe questions "Tuan? Why?" curiously!
黃	Huang	2	yellow	yellow questions "Huang? Why?" curiously!
廣	Guang	3	extensive	extensive bends down drooping saying "Guang"!
橫	Heng	2	horizontal	horizontal questions "Heng? Why?" curiously!
窗	Chuang	1	Window	Window sings "Chuang!" cheerfully!
總	Zong	3	general	general bends down drooping saying "Zong"!
詹	Zhan	1	verbose	verbose sings "Zhan!" cheerfully!
擔	Dan	4	to assume (responsibility over)	to assume (responsibility over) commands "Dan!" yells!
數	Shu	4	Number	Number commands "Shu!" yells!
樓	Lou	2	Multistory Building	Multistory Building questions "Lou? Why?" curiously!
獨	Du	2	alone	alone questions "Du? Why?" curiously!
屬	Shu	3	to belong to	to belong to bends down drooping saying "Shu"!
爛	Lan	4	spoiled	spoiled commands "Lan!" yells!
蘭	Lan	2	Orchid	Orchid questions "Lan? Why?" curiously!
從	Cong	2	to follow	to follow questions "Cong? Why?" curiously!
縱	Zong	4	vertical	vertical commands "Zong!" yells!
齊	Qi	2	identical	identical questions "Qi? Why?" curiously!
濟	Ji	4	to relieve (of ailments)	to relieve (of ailments) commands "Ji!" yells!
丑	Chou	3	Clown	Clown bends down drooping saying "Chou"!
扭	Niu	3	to twist	to twist bends down drooping saying "Niu"!
卑	Bei	1	lowly	lowly sings "Bei!" cheerfully!
牌	Pai	2	a Brand (Trademark)	a Brand (Trademark) questions "Pai? Why?" curiously!
號	Hao	4	Appellation	Appellation commands "Hao!" yells!
怪	Guai	4	peculiar	peculiar commands "Guai!" yells!
赤	Chi	4	crimson	crimson commands "Chi!" yells!
亦	Yi	4	likewise	likewise commands "Yi!" yells!
極	Ji	2	Extreme	Extreme questions "Ji? Why?" curiously!
雜	Za	2	miscellaneous	miscellaneous questions "Za? Why?" curiously!
曰	Yue	1	sayeth	sayeth sings "Yue!" cheerfully!
亂	Luan	4	Chaos	Chaos commands "Luan!" yells!
叭	Ba	1	trumpet	trumpet sings "Ba!" cheerfully!
咕	Gu	1	mutter	mutter sings "Gu!" cheerfully!
咱	Zan	2	we (inclusive)	we (inclusive) questions "Zan? Why?" curiously!
串	Chuan	4	string together	string together commands "Chuan!" yells!
罩	Zhao	4	overspread	overspread commands "Zhao!" yells!
囂	Xiao	1	hubbub	hubbub sings "Xiao!" cheerfully!
顛	Dian	1	invert	invert sings "Dian!" cheerfully!
叨	Dao	1	talkative	talkative sings "Dao!" cheerfully!
刮	Gua	1	scrape	scrape sings "Gua!" cheerfully!
盯	Ding	1	stare at	stare at sings "Ding!" cheerfully!
呵	Ā	5	rebuke	rebuke says "Ā" neutrally!
姦	Jian	1	adultery	adultery sings "Jian!" cheerfully!
嬰	Ying	1	baby	baby sings "Ying!" cheerfully!
姑	Gu	1	father's sister	father's sister sings "Gu!" cheerfully!
姆	Mu	3	nanny	nanny bends down drooping saying "Mu"!
兢	Jing	1	cautious	cautious sings "Jing!" cheerfully!
碩	Shuo	4	big	big commands "Shuo!" yells!
砌	Qi	4	lay brick	lay brick commands "Qi!" yells!
哨	Shao	4	whistle	whistle commands "Shao!" yells!
晃	Huang	4	sway	sway commands "Huang!" yells!
泊	Bo	2	moor	moor questions "Bo? Why?" curiously!
汰	Tai	4	get rid of	get rid of commands "Tai!" yells!
沾	Zhan	1	soak	soak sings "Zhan!" cheerfully!
渺	Miao	3	insignificant	insignificant bends down drooping saying "Miao"!
腺	Xian	4	gland	gland commands "Xian!" yells!
坦	Tan	3	level	level bends down drooping saying "Tan"!
娃	Wa	2	newborn	newborn questions "Wa? Why?" curiously!
涯	Ya	2	bank	bank questions "Ya? Why?" curiously!
吋	Cun	4	inch	inch commands "Cun!" yells!
肘	Zhou	3	elbow	elbow bends down drooping saying "Zhou"!
灼	Zhuo	2	scorch	scorch questions "Zhuo? Why?" curiously!
炒	Chao	3	stir-fry	stir-fry bends down drooping saying "Chao"!
澆	Jiao	1	sprinkle	sprinkle sings "Jiao!" cheerfully!
哩	Li	3	mile	mile bends down drooping saying "Li"!
鯉	Li	3	carp	carp bends down drooping saying "Li"!
嘿	Hei	1	Hey!	Hey! sings "Hei!" cheerfully!
丹	Dan	1	cinnabar red	cinnabar red sings "Dan!" cheerfully!
喧	Xuan	1	boisterous	boisterous sings "Xuan!" cheerfully!
賓	Bin	1	visitor	visitor sings "Bin!" cheerfully!
濱	Bin	1	water's edge	water's edge sings "Bin!" cheerfully!
寡	Gua	3	widowed	widowed bends down drooping saying "Gua"!
棚	Peng	2	shed	shed questions "Peng? Why?" curiously!
柏	Bai	3	cypress	cypress bends down drooping saying "Bai"!
槓	Gang	4	thick stick	thick stick commands "Gang!" yells!
朵	Duo	5	flouds	flouds says "Duo" neutrally!
杜	Du	4	prevent	prevent commands "Du!" yells!
桂	Gui	4	cassia-bark tree	cassia-bark tree commands "Gui!" yells!
椅	Yi	3	chair	chair bends down drooping saying "Yi"!
杰	Jie	2	hero	hero questions "Jie? Why?" curiously!
櫻	Ying	1	cherry	cherry sings "Ying!" cheerfully!
梢	Shao	1	treetops	treetops sings "Shao!" cheerfully!
桐	Tong	2	paulownia	paulownia questions "Tong? Why?" curiously!
宋	Song	4	Song (like the dynasty)	Song (like the dynasty) commands "Song!" yells!
淋	Lin	2	drench	drench questions "Lin? Why?" curiously!
焚	Fen	2	burn	burn questions "Fen? Why?" curiously!
昧	Mei	4	obscure	obscure commands "Mei!" yells!
朱	Zhu	1	vermillion	vermillion sings "Zhu!" cheerfully!
株	Zhu	1	tree trunk	tree trunk sings "Zhu!" cheerfully!
樑	Liang	2	roof beam	roof beam questions "Liang? Why?" curiously!
碟	Die	2	saucer	saucer questions "Die? Why?" curiously!
萌	Meng	2	bud	bud questions "Meng? Why?" curiously!
苛	Ke	1	exacting	exacting sings "Ke!" cheerfully!
膜	Mo	2	membrane	membrane questions "Mo? Why?" curiously!
寞	Mo	4	solitary	solitary commands "Mo!" yells!
暮	Mu	4	sunset	sunset commands "Mu!" yells!
燃	Ran	2	ignite	ignite questions "Ran? Why?" curiously!
咒	Zhou	4	curse	curse commands "Zhou!" yells!
獸	Shou	4	beast	beast commands "Shou!" yells!
狸	Li	2	raccoon dog	raccoon dog questions "Li? Why?" curiously!
嗅	Xiu	4	sniff	sniff commands "Xiu!" yells!
牡	Mu	3	dude	dude bends down drooping saying "Mu"!
牢	Lao	2	jail	jail questions "Lao? Why?" curiously!
贊	Zan	4	succor	succor commands "Zan!" yells!
舍	She	4	abode	abode commands "She!" yells!
啥	Sha	2	wha?	wha? questions "Sha? Why?" curiously!
洽	Qia	4	in agreement	in agreement commands "Qia!" yells!
旺	Wang	4	thriving	thriving commands "Wang!" yells!
碧	Bi	4	green jade	green jade commands "Bi!" yells!
汪	Wang	1	tearful	tearful sings "Wang!" cheerfully!
枉	Wang	3	crooked	crooked bends down drooping saying "Wang"!
珠	Zhu	1	pearl	pearl sings "Zhu!" cheerfully!
噩	È	5	shocking	shocking says "È" neutrally!
鱷	È	5	crocodile	crocodile says "È" neutrally!
鬥	Dou	4	fight	fight commands "Dou!" yells!
栓	Shuan	1	plug	plug sings "Shuan!" cheerfully!
柱	Zhu	4	pillar	pillar commands "Zhu!" yells!
鉤	Gou	1	hook	hook sings "Gou!" cheerfully!
鈔	Chao	1	paper money	paper money sings "Chao!" cheerfully!
銷	Xiao	1	put up for sale	put up for sale sings "Xiao!" cheerfully!
鎖	Suo	3	lock	lock bends down drooping saying "Suo"!
鑽	Zuan	1	drill	drill sings "Zuan!" cheerfully!
迫	Po	4	compel	compel commands "Po!" yells!
逼	Bi	1	press (like coerce)	press (like coerce) sings "Bi!" cheerfully!
逃	Tao	2	escape	escape questions "Tao? Why?" curiously!
逞	Cheng	3	flaunt	flaunt bends down drooping saying "Cheng"!
轟	Hong	1	rumble	rumble sings "Hong!" cheerfully!
軌	Gui	3	rails	rails bends down drooping saying "Gui"!
軋	Ya	4	flatten	flatten commands "Ya!" yells!
輻	Fu	2	spokes	spokes questions "Fu? Why?" curiously!
煎	Jian	1	sauté	sauté sings "Jian!" cheerfully!
喻	Yu	4	figure of speech	figure of speech commands "Yu!" yells!
榆	Yu	2	elm	elm questions "Yu? Why?" curiously!
略	È	5	abbreviation	abbreviation says "È" neutrally!
暈	Yun	1	dizzy	dizzy sings "Yun!" cheerfully!
渾	Hun	2	muddled	muddled questions "Hun? Why?" curiously!
膏	Gao	1	ointment	ointment sings "Gao!" cheerfully!
亨	Heng	1	go smoothly	go smoothly sings "Heng!" cheerfully!
哼	Heng	1	hum	hum sings "Heng!" cheerfully!
淳	Chun	2	honest	honest questions "Chun? Why?" curiously!
鯨	Jing	1	whale	whale sings "Jing!" cheerfully!
贖	Shu	2	redeem	redeem questions "Shu? Why?" curiously!
晝	Zhou	4	daylight	daylight commands "Zhou!" yells!
津	Jin	1	Tianjin	Tianjin sings "Jin!" cheerfully!
釐	Li	2	smidgen	smidgen questions "Li? Why?" curiously!
枚	Mei	2	small objects	small objects questions "Mei? Why?" curiously!
牧	Mu	4	herd	herd commands "Mu!" yells!
玫	Mei	2	rose	rose questions "Mei? Why?" curiously!
敦	Dun	1	candid	candid sings "Dun!" cheerfully!
諾	Nuo	4	promise	promise commands "Nuo!" yells!
謂	Wei	4	meaning	meaning commands "Wei!" yells!
詢	Xun	2	inquire	inquire questions "Xun? Why?" curiously!
罰	Fa	2	penalize	penalize questions "Fa? Why?" curiously!
訂	Ding	4	place an order	place an order commands "Ding!" yells!
詠	Yong	3	chant	chant bends down drooping saying "Yong"!
諜	Die	2	espionage	espionage questions "Die? Why?" curiously!
註	Zhu	4	annotate	annotate commands "Zhu!" yells!
諒	Liang	4	forgive	forgive commands "Liang!" yells!
讚	Zan	4	praise	praise commands "Zan!" yells!
貳	Èr	5	II	II says "Èr" neutrally!
膩	Ni	4	sick and tired of	sick and tired of commands "Ni!" yells!
洩	Xie	4	discharge	discharge commands "Xie!" yells!
划	Hua	2	paddle	paddle questions "Hua? Why?" curiously!
嘎	Ga	2	caw	caw questions "Ga? Why?" curiously!
域	Yu	4	domain	domain commands "Yu!" yells!
栽	Zai	1	sow	sow sings "Zai!" cheerfully!
戚	Qi	5	kin	kin says "Qi" neutrally!
蔑	Mie	4	despise	despise commands "Mie!" yells!
喊	Han	3	yell	yell bends down drooping saying "Han"!
濺	Jian	4	splatter	splatter commands "Jian!" yells!
址	Zhi	3	address	address bends down drooping saying "Zhi"!
澀	Se	4	astringent	astringent commands "Se!" yells!
蘋	Ping	2	apple	apple questions "Ping? Why?" curiously!
赴	Fu	4	go to	go to commands "Fu!" yells!
趟	Tang	4	trip	trip commands "Tang!" yells!
堤	Ti2	5	dike	dike says "Ti2" neutrally!
鍵	Jian	4	keyboard keys	keyboard keys commands "Jian!" yells!
婿	Xu	4	son-in-law	son-in-law commands "Xu!" yells!
裁	Cai	2	tailor	tailor questions "Cai? Why?" curiously!
襪	Wa	4	socks	socks commands "Wa!" yells!
滾	Gun	3	trundle	trundle bends down drooping saying "Gun"!
衰	Shuai	1	decline	decline sings "Shuai!" cheerfully!
衷	Zhong	1	innermost feelings	innermost feelings sings "Zhong!" cheerfully!
禪	Dan	1	meditation	meditation sings "Dan!" cheerfully!
猿	Yuan	2	ape	ape questions "Yuan? Why?" curiously!
吊	Diao	4	dangle	dangle commands "Diao!" yells!
帕	Pa	4	handkerchief	handkerchief commands "Pa!" yells!
帖	Tie	1	note	note sings "Tie!" cheerfully!
帆	Fan	1	sail	sail sings "Fan!" cheerfully!
幅	Fu	2	width of cloth	width of cloth questions "Fu? Why?" curiously!
錦	Jin	3	brocade	brocade bends down drooping saying "Jin"!
沛	Pei	4	copious	copious commands "Pei!" yells!
柿	Shi	4	persimmon	persimmon commands "Shi!" yells!
鬧	Nao	4	stir up trouble	stir up trouble commands "Nao!" yells!
棘	Ji	2	thorn bushes	thorn bushes questions "Ji? Why?" curiously!
棗	Zao	3	jujube	jujube bends down drooping saying "Zao"!
蕾	Lei	3	flower bud	flower bud bends down drooping saying "Lei"!
吞	Tun	1	gulp down	gulp down sings "Tun!" cheerfully!
妖	Yao	1	bewitching	bewitching sings "Yao!" cheerfully!
沃	Wo	4	fertile	fertile commands "Wo!" yells!
轎	Jiao	4	sedan chair	sedan chair commands "Jiao!" yells!
垃	La	1	garbage	garbage sings "La!" cheerfully!
啼	Ti	2	weep aloud	weep aloud questions "Ti? Why?" curiously!
蒂	Di	4	fruit stem	fruit stem commands "Di!" yells!
滴	Di	1	drip	drip sings "Di!" cheerfully!
頃	Qing	3	100 Chinese acres	100 Chinese acres bends down drooping saying "Qing"!
匙	Shi	5	spoon	spoon says "Shi" neutrally!
乖	Guai	1	well-behaved	well-behaved sings "Guai!" cheerfully!
乘	Cheng	2	hitch a ride	hitch a ride questions "Cheng? Why?" curiously!
剩	Sheng	4	leftover	leftover commands "Sheng!" yells!
棍	Gun	4	club	club commands "Gun!" yells!
諧	Xie	2	in accord	in accord questions "Xie? Why?" curiously!
柴	Chai	2	firewood	firewood questions "Chai? Why?" curiously!
敏	Min	3	quick-witted	quick-witted bends down drooping saying "Min"!
霉	Mei	2	mildew	mildew questions "Mei? Why?" curiously!
迄	Qi	4	so far	so far commands "Qi!" yells!
砍	Kan	3	chop	chop bends down drooping saying "Kan"!
坎	Kan	3	hump	hump bends down drooping saying "Kan"!
炊	Chui	1	cook	cook sings "Chui!" cheerfully!
欽	Qin	1	think highly of	think highly of sings "Qin!" cheerfully!
剖	Pou	1	cut open	cut open sings "Pou!" cheerfully!
菩	Pu	2	bodhisattva	bodhisattva questions "Pu? Why?" curiously!
芒	Mang	2	mango	mango questions "Mang? Why?" curiously!
荒	Huang	1	wasteland	wasteland sings "Huang!" cheerfully!
謊	Huang	3	lie	lie bends down drooping saying "Huang"!
茫	Mang	2	boundless	boundless questions "Mang? Why?" curiously!
贏	Ying	2	win	win questions "Ying? Why?" curiously!
訊	Xun	4	interrogate	interrogate commands "Xun!" yells!
坊	Fang	2	workshop	workshop questions "Fang? Why?" curiously!
芳	Fang	1	aromatic	aromatic sings "Fang!" cheerfully!
訪	Fang	3	call on	call on bends down drooping saying "Fang"!
熬	Áo	5	stew	stew says "Áo" neutrally!
菸	Yan	1	tobacco	tobacco sings "Yan!" cheerfully!
榜	Bang	3	roster	roster bends down drooping saying "Bang"!
磅	Bang	4	pound	pound commands "Bang!" yells!
膀	Bang	3	upper arm	upper arm bends down drooping saying "Bang"!
銳	Rui	4	sharp	sharp commands "Rui!" yells!
虹	Hong	2	rainbow	rainbow questions "Hong? Why?" curiously!
蝠	Fu	2	bat	bat questions "Fu? Why?" curiously!
蛙	Wa	1	frog	frog sings "Wa!" cheerfully!
蝗	Huang	2	locust	locust questions "Huang? Why?" curiously!
蟬	Chan	2	cicada	cicada questions "Chan? Why?" curiously!
楓	Feng	1	maple	maple sings "Feng!" cheerfully!
胞	Bao	1	placenta	placenta sings "Bao!" cheerfully!
炮	Pao	4	fireworks	fireworks commands "Pao!" yells!
袍	Pao	2	robe	robe questions "Pao? Why?" curiously!
雹	Bao	2	hail	hail questions "Bao? Why?" curiously!
逐	Zhu	2	pursue	pursue questions "Zhu? Why?" curiously!
遂	Sui	4	satisfy	satisfy commands "Sui!" yells!
蒙	Meng	2	Mongolia	Mongolia questions "Meng? Why?" curiously!
朦	Meng	2	dim	dim questions "Meng? Why?" curiously!
豪	Hao	2	unrestrained	unrestrained questions "Hao? Why?" curiously!
啄	Zhuo	2	peck	peck questions "Zhuo? Why?" curiously!
琢	Zuo	2	chisel	chisel questions "Zuo? Why?" curiously!
嫁	Jia	4	marry	marry commands "Jia!" yells!
腸	Chang	2	intestines	intestines questions "Chang? Why?" curiously!
楊	Yang	2	poplar	poplar questions "Yang? Why?" curiously!
燙	Tang	4	scald	scald commands "Tang!" yells!
蕩	Dang	4	licentious	licentious commands "Dang!" yells!
詳	Xiang	2	detailed	detailed questions "Xiang? Why?" curiously!
羨	Xian	4	envy	envy commands "Xian!" yells!
唯	Wei	2	soley	soley questions "Wei? Why?" curiously!
堆	Dui	1	pile	pile sings "Dui!" cheerfully!
焦	Jiao	1	apprehensive	apprehensive sings "Jiao!" cheerfully!
瞧	Qiao	2	lay eyes on	lay eyes on questions "Qiao? Why?" curiously!
礁	Jiao	1	reef	reef sings "Jiao!" cheerfully!
蕉	Jiao	1	banana	banana sings "Jiao!" cheerfully!
雕	Diao	1	sculpture	sculpture sings "Diao!" cheerfully!
截	Jie	2	lop off	lop off questions "Jie? Why?" curiously!
准	Zhun	3	allow	allow bends down drooping saying "Zhun"!
雀	Que	4	sparrow	sparrow commands "Que!" yells!
霍	Huo	4	all at once	all at once commands "Huo!" yells!
奮	Fen	4	exert oneself	exert oneself commands "Fen!" yells!
奪	Duo	2	take by force	take by force questions "Duo? Why?" curiously!
翹	Qiao	4	turn upward	turn upward commands "Qiao!" yells!
塌	Ta	1	fall down	fall down sings "Ta!" cheerfully!
翰	Han	4	writing brush	writing brush commands "Han!" yells!
咽	Yan	4	throat	throat commands "Yan!" yells!
姻	Yin	1	in-law	in-law sings "Yin!" cheerfully!
廟	Miao	4	temple	temple commands "Miao!" yells!
廂	Xiang	1	side room	side room sings "Xiang!" cheerfully!
嘛	Ma	5	(pause marker)	(pause marker) says "Ma" neutrally!
磨	Mo	2	grind	grind questions "Mo? Why?" curiously!
廈	Sha	4	skyscraper	skyscraper commands "Sha!" yells!
廁	Ce	4	toilet	toilet commands "Ce!" yells!
悟	Wu	4	realize	realize commands "Wu!" yells!
忠	Zhong	1	loyal	loyal sings "Zhong!" cheerfully!
悼	Dao	4	mourn	mourn commands "Dao!" yells!
慎	Shen	4	prudent	prudent commands "Shen!" yells!
恕	Shu	4	pardon	pardon commands "Shu!" yells!
悄	Qiao	1	noiseless	noiseless sings "Qiao!" cheerfully!
恍	Huang	3	all of a sudden	all of a sudden bends down drooping saying "Huang"!
惰	Duo	4	indolent	indolent commands "Duo!" yells!
恢	Hui	1	immense	immense sings "Hui!" cheerfully!
恆	Heng	2	permanent	permanent questions "Heng? Why?" curiously!
慕	Mu	4	admire	admire commands "Mu!" yells!
恰	Qia	4	just right	just right commands "Qia!" yells!
惶	Huang	2	fearful	fearful questions "Huang? Why?" curiously!
愉	Yu	2	overjoyed	overjoyed questions "Yu? Why?" curiously!
愈	Yu	4	more and more	more and more commands "Yu!" yells!
惑	Huo	4	be bewildered	be bewildered commands "Huo!" yells!
怔	Zheng	4	terror-stricken	terror-stricken commands "Zheng!" yells!
怖	Bu	4	be scared of	be scared of commands "Bu!" yells!
添	Tian	1	augment	augment sings "Tian!" cheerfully!
悔	Hui	3	be sorry about	be sorry about bends down drooping saying "Hui"!
慌	Huang	1	nervous	nervous sings "Huang!" cheerfully!
悅	Yue	4	delighted	delighted commands "Yue!" yells!
憎	Zeng	1	loathe	loathe sings "Zeng!" cheerfully!
忌	Ji	4	shun	shun commands "Ji!" yells!
惟	Wei	2	thinking	thinking questions "Wei? Why?" curiously!
懼	Ju	4	be frightened	be frightened commands "Ju!" yells!
患	Huan	4	troubles	troubles commands "Huan!" yells!
惹	Re	3	provoke	provoke bends down drooping saying "Re"!
恩	Ēn	5	kindness	kindness says "Ēn" neutrally!
憶	Yi	4	recall	recall commands "Yi!" yells!
媳	Xi	2	daughter-in-law	daughter-in-law questions "Xi? Why?" curiously!
熄	Xi	1	put out	put out sings "Xi!" cheerfully!
瑟	Se	4	Chinese harp	Chinese harp commands "Se!" yells!
泌	Mi	4	secrete	secrete commands "Mi!" yells!
蜜	Mi	4	honey	honey commands "Mi!" yells!
摩	Mo	2	rub	rub questions "Mo? Why?" curiously!
蛾	É	5	moth	moth says "É" neutrally!
扒	Ba	1	pick pockets	pick pockets sings "Ba!" cheerfully!
扣	Kou	4	button	button commands "Kou!" yells!
捐	Juan	1	contribute	contribute sings "Juan!" cheerfully!
拍	Pai	1	racquet	racquet sings "Pai!" cheerfully!
啪	Pa	1	clapping sound	clapping sound sings "Pa!" cheerfully!
損	Sun	3	damage	damage bends down drooping saying "Sun"!
扛	Kang	2	carry over the shoulder	carry over the shoulder questions "Kang? Why?" curiously!
扎	Zha	1	prick	prick sings "Zha!" cheerfully!
拇	Mu3	5	thumb	thumb says "Mu3" neutrally!
拘	Ju	1	detain	detain sings "Ju!" cheerfully!
抄	Chao	1	copy	copy sings "Chao!" cheerfully!
拓	Ta	4	pioneer	pioneer commands "Ta!" yells!
捏	Nie	1	pinch	pinch sings "Nie!" cheerfully!
撓	Nao	2	chafe	chafe questions "Nao? Why?" curiously!
抹	Mo	3	smear on	smear on bends down drooping saying "Mo"!
描	Miao	2	describe	describe questions "Miao? Why?" curiously!
摸	Mo	1	grope	grope sings "Mo!" cheerfully!
挑	Tiao	1	foment	foment sings "Tiao!" cheerfully!
拴	Shuan	1	tether	tether sings "Shuan!" cheerfully!
拾	Shi2	5	tidy up	tidy up says "Shi2" neutrally!
搭	Da	1	put up	put up sings "Da!" cheerfully!
掠	Lüe	4	pillage	pillage commands "Lüe!" yells!
捨	She	3	abandon	abandon bends down drooping saying "She"!
拭	Shi	4	wipe away	wipe away commands "Shi!" yells!
扯	Che	3	yank	yank bends down drooping saying "Che"!
拖	Tuo	1	drag	drag sings "Tuo!" cheerfully!
揚	Yang	2	publicize	publicize questions "Yang? Why?" curiously!
搞	Gao	3	engage in	engage in bends down drooping saying "Gao"!
撞	Zhuang	4	bump into	bump into commands "Zhuang!" yells!
摘	Zhai	1	handpick	handpick sings "Zhai!" cheerfully!
捆	Kun	3	lash together	lash together bends down drooping saying "Kun"!
撼	Han	4	joggle	joggle commands "Han!" yells!
擾	Rao	3	harass	harass bends down drooping saying "Rao"!
擅	Shan	4	act without authority	act without authority commands "Shan!" yells!
壇	Tan	2	altar	altar questions "Tan? Why?" curiously!
顫	Chan	4	tremble	tremble commands "Chan!" yells!
莽	Mang	3	rude	rude bends down drooping saying "Mang"!
戒	Jie	4	take precautions against	take precautions against commands "Jie!" yells!
械	Xie	4	weapon	weapon commands "Xie!" yells!
誡	Jie	4	warn	warn commands "Jie!" yells!
奔	Ben	1	dash	dash sings "Ben!" cheerfully!
噴	Pen	1	spurt	spurt sings "Pen!" cheerfully!
墳	Fen	2	tomb	tomb questions "Fen? Why?" curiously!
憤	Fen	4	indignation	indignation commands "Fen!" yells!
材	Cai	2	stuff	stuff questions "Cai? Why?" curiously!
孕	Yun	4	pregnant	pregnant commands "Yun!" yells!
扔	Reng	1	throw away	throw away sings "Reng!" cheerfully!
圾	Ji	1	trash	trash sings "Ji!" cheerfully!
叉	Cha	1	fork	fork sings "Cha!" cheerfully!
桑	Sang	1	mulberry tree	mulberry tree sings "Sang!" cheerfully!
嗓	Sang	3	voicebox	voicebox bends down drooping saying "Sang"!
寇	Kou	4	outlaw	outlaw commands "Kou!" yells!
敲	Qiao	1	knock	knock sings "Qiao!" cheerfully!
灌	Guan	4	pour into	pour into commands "Guan!" yells!
權	Quan	2	authority	authority questions "Quan? Why?" curiously!
毅	Yi	4	resolute	resolute commands "Yi!" yells!
肢	Zhi	1	limb	limb sings "Zhi!" cheerfully!
妓	Ji	4	prostitute	prostitute commands "Ji!" yells!
歧	Qi	2	fork in the road	fork in the road questions "Qi? Why?" curiously!
翅	Chi	4	fins	fins commands "Chi!" yells!
淑	Shu	1	graceful	graceful sings "Shu!" cheerfully!
椒	Jiao	1	spice plant	spice plant sings "Jiao!" cheerfully!
后	Hou	4	queen	queen commands "Hou!" yells!
